,index,category,amin,amax
0,0,Autos & Vehicles,2017-11-01,2018-06-01
1,1,Comedy,2017-11-01,2018-06-01
2,2,Education,2017-11-01,2018-06-01
3,3,Entertainment,2017-11-01,2018-06-01
4,4,Film & Animation,2017-11-01,2018-06-01
5,5,Gaming,2017-11-01,2018-06-01
6,6,Howto & Style,2017-11-01,2018-06-01
7,7,Movies,2018-01-01,2018-06-01
8,8,Music,2017-11-01,2018-06-01
9,9,News & Politics,2017-11-01,2018-06-01
10,10,Nonprofits & Activism,2017-11-01,2018-06-01
11,11,People & Blogs,2017-11-01,2018-06-01
12,12,Pets & Animals,2017-11-01,2018-06-01
13,13,Science & Technology,2017-11-01,2018-06-01
14,14,Shows,2017-11-01,2018-06-01
15,15,Sports,2017-11-01,2018-06-01
16,16,Trailers,2018-02-01,2018-05-01
17,17,Travel & Events,2017-11-01,2018-06-01
