,category,country,alpha3,Unnamed: 0,views,likes,dislikes,comment_count,video_error_or_removed,Global Code,Region Code,Sub-region Code,Intermediate Region Code,like/dislike
0,Autos & Vehicles,Canada,CAN,28401674,200066074,4732114,197776,1016188,1,353,6707.0,7413.0,0.0,23.926634171992557
1,Comedy,Canada,CAN,175693518,3708438785,196046674,5372515,19638776,2,3773,71687.0,79233.0,0.0,36.49067038435444
2,Education,Canada,CAN,80399830,531773343,20972402,793448,2968416,0,991,18829.0,20811.0,0.0,26.431980419636826
3,Entertainment,Canada,CAN,742199278,13671215509,387245433,25791583,55313036,8,13451,255569.0,282471.0,0.0,15.014411213146552
4,Film & Animation,Canada,CAN,150801270,2939060844,77802003,3111259,10086573,11,2060,39140.0,43260.0,0.0,25.00659797207497
5,Gaming,Canada,CAN,102226656,1241532385,51726552,2446882,9664887,0,1344,25536.0,28224.0,0.0,21.139781975591795
6,Howto & Style,Canada,CAN,142840197,1570846611,51183104,1730520,8342917,1,2007,38133.0,42147.0,0.0,29.576719136444538
7,Movies,Canada,CAN,490515,17120490,252905,12280,13979,0,6,114.0,126.0,0.0,20.59486970684039
8,Music,Canada,CAN,159739034,13179850194,564447530,22098190,52435252,1,3731,70889.0,78351.0,0.0,25.542704176224387
9,News & Politics,Canada,CAN,266105297,1614610043,32705054,3264041,9259788,0,4159,79021.0,87339.0,0.0,10.01980489828406
10,People & Blogs,Canada,CAN,279612075,3228227926,105388564,9480796,16818201,2,4105,77995.0,86205.0,0.0,11.11600376170946
11,Pets & Animals,Canada,CAN,29411145,235592173,8830736,185003,1823538,0,369,7011.0,7749.0,0.0,47.73293406052875
12,Science & Technology,Canada,CAN,86407860,1425090421,42814598,1791153,7209219,0,1155,21945.0,24255.0,0.0,23.90337285536188
13,Shows,Canada,CAN,10129250,71549508,589263,120436,77243,0,124,2356.0,2604.0,0.0,4.892748015543525
14,Sports,Canada,CAN,217739949,2997652188,59449419,3286369,7661342,1,2787,52953.0,58527.0,0.0,18.089696866054908
15,Travel & Events,Canada,CAN,31393516,143746952,3750914,129861,609953,0,392,7448.0,8232.0,0.0,28.884068350005005
16,Autos & Vehicles,Germany,DEU,95354298,182112183,6143363,182704,657163,0,873,130950.0,135315.0,0.0,33.62467707329889
17,Comedy,Germany,DEU,249128943,1642158154,74787405,2557861,8851969,0,2534,380100.0,392770.0,0.0,29.238260014910896
18,Education,Germany,DEU,84402954,143868522,7516778,234168,888078,0,844,126600.0,130820.0,0.0,32.099936797512896
19,Entertainment,Germany,DEU,1367127738,8102638694,267752272,22485534,36487217,5,15292,2293800.0,2370260.0,0.0,11.907756871595756
20,Film & Animation,Germany,DEU,255661164,1757184336,45315546,1864876,5387311,8,2376,356400.0,368280.0,0.0,24.29949551605576
21,Gaming,Germany,DEU,188189685,669356053,28868280,1984458,4703845,1,1565,234750.0,242575.0,0.0,14.547186183834578
22,Howto & Style,Germany,DEU,197685815,589323375,15101881,739287,1783048,0,1745,261750.0,270475.0,0.0,20.42762959446061
23,Movies,Germany,DEU,244677,3071004,63834,2594,3249,0,2,300.0,310.0,0.0,24.608326908249808
24,Music,Germany,DEU,280561346,5683870646,300297066,12985188,29621836,0,2372,355800.0,367660.0,0.0,23.12612385742894
25,News & Politics,Germany,DEU,339365245,845937888,14391904,2369587,4096468,0,2935,440250.0,454925.0,0.0,6.073591727165957
26,People & Blogs,Germany,DEU,619275966,2193613268,60920058,4544157,8919200,0,5988,898200.0,928140.0,0.0,13.406239705186243
27,Pets & Animals,Germany,DEU,30639570,92098930,3351052,81919,660838,0,251,37650.0,38905.0,0.0,40.906895836130815
28,Science & Technology,Germany,DEU,97962449,572461153,15372868,737165,3442888,0,806,120900.0,124930.0,0.0,20.854039461992905
29,Shows,Germany,DEU,12956095,50844117,378819,98783,67392,0,107,16050.0,16585.0,0.0,3.834860249233168
30,Sports,Germany,DEU,305577952,1938192278,37646423,2153755,4220385,0,2752,412800.0,426560.0,0.0,17.47943614756553
31,Trailers,Germany,DEU,122337,8804,0,0,0,0,1,150.0,155.0,0.0,
32,Travel & Events,Germany,DEU,17239506,19213672,887036,30503,102772,0,141,21150.0,21855.0,0.0,29.08028718486706
33,Autos & Vehicles,France,FRA,102491170,43764940,1606767,52260,207973,1,673,100950.0,104315.0,0.0,30.745637198622273
34,Comedy,France,FRA,583395190,1896284649,130805444,3391288,9136814,1,4343,651450.0,673165.0,0.0,38.57102198338802
35,Education,France,FRA,114124214,120742556,8302644,201359,768074,0,769,115350.0,119195.0,0.0,41.233041483122186
36,Entertainment,France,FRA,1249457931,3779500229,118243560,10351578,15729924,5,9819,1472850.0,1521945.0,0.0,11.422756994151037
37,Film & Animation,France,FRA,339634749,918517018,24631422,1092744,2841655,7,2157,323550.0,334335.0,0.0,22.540889723485098
38,Gaming,France,FRA,200220029,447160176,22502704,1097458,3047593,1,1459,218850.0,226145.0,0.0,20.50438741163671
39,Howto & Style,France,FRA,354081531,468344413,15519633,643543,1759358,0,2361,354150.0,365955.0,0.0,24.115922323760806
40,Movies,France,FRA,1792362,1028214,24295,1048,1467,0,11,1650.0,1705.0,0.0,23.182251908396946
41,Music,France,FRA,633366541,5026447522,277314234,9772318,25446289,2,3946,591900.0,611630.0,0.0,28.37752864775788
42,News & Politics,France,FRA,579693380,495045563,9301486,775868,1896101,3,3752,562800.0,581560.0,0.0,11.988490310207407
43,People & Blogs,France,FRA,830181478,1280843533,28927705,1760711,4104818,1,5719,857850.0,886445.0,0.0,16.42955885434918
44,Pets & Animals,France,FRA,38587866,43339241,1335449,44591,187590,1,237,35550.0,36735.0,0.0,29.948846179722366
45,Science & Technology,France,FRA,121545105,461992294,18513625,511858,2926363,0,802,120300.0,124310.0,0.0,36.169455200465755
46,Shows,France,FRA,16090569,51823901,291212,103846,44882,0,99,14850.0,15345.0,0.0,2.8042678581746046
47,Sports,France,FRA,608450973,1996811039,43964560,2145956,4575418,0,4342,651300.0,673010.0,0.0,20.487167490852563
48,Trailers,France,FRA,325897,12940,192,9,0,0,2,300.0,310.0,0.0,21.333333333333332
49,Travel & Events,France,FRA,19354160,9749080,871774,10980,101892,0,119,17850.0,18445.0,0.0,79.39653916211293
50,Autos & Vehicles,Great Britain,GBR,29028600,214184514,3543625,281190,505085,0,144,21600.0,22176.0,0.0,12.602244034282869
51,Comedy,Great Britain,GBR,355961870,3962062143,143372176,4630521,16718816,0,1828,274200.0,281512.0,0.0,30.962428633840556
52,Education,Great Britain,GBR,89993354,444290557,17567394,593153,1636903,0,457,68550.0,70378.0,0.0,29.61696897764995
53,Entertainment,Great Britain,GBR,1545965998,29786283041,744266231,88106151,116897440,35,9124,1368600.0,1405096.0,0.0,8.447381057424696
54,Film & Animation,Great Britain,GBR,511377303,8362707626,147418633,6192934,15590011,12,2577,386550.0,396858.0,0.0,23.804328126216102
55,Gaming,Great Britain,GBR,358711242,1746619532,70125588,2304458,6166994,0,1788,268200.0,275352.0,0.0,30.430404025588665
56,Howto & Style,Great Britain,GBR,316025228,1190155227,51360345,1607193,7356296,0,1928,289200.0,296912.0,0.0,31.956550955610187
57,Music,Great Britain,GBR,2487802889,171160864769,3742993052,159370236,293013140,22,13754,2063100.0,2118116.0,0.0,23.486148643213404
58,News & Politics,Great Britain,GBR,233086875,1409131375,30651565,3780349,9386604,0,1225,183750.0,188650.0,0.0,8.10813102176545
59,People & Blogs,Great Britain,GBR,562817563,5754287829,135396249,12002570,18713149,0,2926,438900.0,450604.0,0.0,11.280604820467616
60,Pets & Animals,Great Britain,GBR,104891751,541320573,15288374,366060,1404698,0,534,80100.0,82236.0,0.0,41.76466699448178
61,Science & Technology,Great Britain,GBR,101476459,1641388256,31873124,1623049,4029065,0,518,77700.0,79772.0,0.0,19.63780760778017
62,Shows,Great Britain,GBR,4035310,28583283,836738,6396,80957,0,20,3000.0,3080.0,0.0,130.82207629768607
63,Sports,Great Britain,GBR,359868063,3341736194,74888487,9914555,10056226,0,1907,286050.0,293678.0,0.0,7.553388629141701
64,Travel & Events,Great Britain,GBR,19363920,132784993,928747,34715,118177,0,96,14400.0,14784.0,0.0,26.753478323491287
65,Autos & Vehicles,India,IND,17200908,30384725,539571,22284,86488,0,72,10224.0,2448.0,0.0,24.213381798599894
66,Comedy,India,IND,778729329,2887672070,174114686,6976508,13806968,0,3429,486918.0,116586.0,0.0,24.9572832138944
67,Education,India,IND,290149917,145533791,7471726,246667,943667,0,1227,174234.0,41718.0,0.0,30.29074014764845
68,Entertainment,India,IND,3627013716,16120390974,396146637,27428929,42199473,0,16712,2373104.0,568208.0,0.0,14.442657859517592
69,Film & Animation,India,IND,335918261,3847149504,69241553,4315081,5789446,11,1658,235436.0,56372.0,0.0,16.046408630568
70,Gaming,India,IND,15772251,274722506,6707728,341616,623839,0,66,9372.0,2244.0,0.0,19.635286403447147
71,Howto & Style,India,IND,200693415,737343593,7889210,859807,748899,0,845,119990.0,28730.0,0.0,9.17555916618497
72,Movies,India,IND,3824232,49040020,662651,34182,36941,0,16,2272.0,544.0,0.0,19.38596337253525
73,Music,India,IND,890212281,10150844485,254328536,15030992,17595070,0,3858,547836.0,131172.0,0.0,16.920276186694796
74,News & Politics,India,IND,1079929014,1994263812,15545971,2737604,2954198,0,5241,744222.0,178194.0,0.0,5.6786777780862385
75,People & Blogs,India,IND,613977952,1364104242,23194729,1728388,2661920,0,2624,372608.0,89216.0,0.0,13.419862322580347
76,Pets & Animals,India,IND,716817,4879743,362534,6488,42056,0,3,426.0,102.0,0.0,55.87762022194821
77,Science & Technology,India,IND,130040988,477111016,21395585,913603,9664392,0,552,78384.0,18768.0,0.0,23.418908431780544
78,Shows,India,IND,48796560,139581891,787516,226268,104880,0,205,29110.0,6970.0,0.0,3.4804568034366326
79,Sports,India,IND,174343500,1379949159,32969986,1316379,2717679,0,731,103802.0,24854.0,0.0,25.045967764602747
80,Travel & Events,India,IND,1882412,1374342,16939,616,2448,0,8,1136.0,272.0,0.0,27.498376623376622
81,Autos & Vehicles,Japan,JPN,71377180,23293878,294124,21584,45615,0,280,39760.0,8400.0,0.0,13.626945885841364
82,Comedy,Japan,JPN,182836697,280973914,7547588,446926,1229425,0,743,105506.0,22290.0,0.0,16.887780079923747
83,Education,Japan,JPN,29060808,9706802,531665,20176,45717,0,112,15904.0,3360.0,0.0,26.351358049167327
84,Entertainment,Japan,JPN,1570070150,1766268244,39741269,2638087,6052118,0,6259,888778.0,187770.0,0.0,15.064426988192581
85,Film & Animation,Japan,JPN,294049890,311590772,5920614,295204,881008,6,1220,173240.0,36600.0,0.0,20.056008726169022
86,Gaming,Japan,JPN,266667515,173525830,3037608,224166,615833,0,1030,146260.0,30900.0,0.0,13.550707957495785
87,Howto & Style,Japan,JPN,203248821,108416992,2430554,151163,367734,0,799,113458.0,23970.0,0.0,16.079027275193003
88,Music,Japan,JPN,332485245,1070344379,83596720,1883438,11129839,6,1290,183180.0,38700.0,0.0,44.38517222228712
89,News & Politics,Japan,JPN,333688152,186286429,1659888,300436,542638,0,1392,197664.0,41760.0,0.0,5.524930434435287
90,People & Blogs,Japan,JPN,954281250,587487319,9696311,919130,1669164,0,3915,555930.0,117450.0,0.0,10.549444583464798
91,Pets & Animals,Japan,JPN,278545939,70681842,1384722,46792,226867,0,1127,160034.0,33810.0,0.0,29.593135578731406
92,Science & Technology,Japan,JPN,38190733,191772211,3784549,160828,629683,0,158,22436.0,4740.0,0.0,23.531654935707714
93,Sports,Japan,JPN,521628849,580726014,5563412,378340,1051743,0,2037,289254.0,61110.0,0.0,14.70479462916953
94,Travel & Events,Japan,JPN,35252646,14771399,176504,38491,49343,0,143,20306.0,4290.0,0.0,4.585591436959289
95,Autos & Vehicles,South Korea,KOR,35124060,14384059,152055,13073,40523,0,120,17040.0,3600.0,0.0,11.631224661516102
96,Comedy,South Korea,KOR,567919628,739841742,13110818,534884,3028270,0,2056,291952.0,61680.0,0.0,24.511516515730513
97,Education,South Korea,KOR,142399701,73464565,1117639,53775,281579,0,486,69012.0,14580.0,0.0,20.78361692236169
98,Entertainment,South Korea,KOR,2539243980,4570464883,88234195,7861813,17324199,2,8955,1271610.0,268650.0,0.0,11.223135808496082
